Cincinnati Cyclones,Toledo Walleye,53
Cincinnati Cyclones,Fort Wayne Komets,50
Cincinnati Cyclones,Elmira Jackals,47
Cincinnati Cyclones,Reading Royals,44
Cincinnati Cyclones,Trenton Titans,43
Cincinnati Cyclones,Johnstown Chiefs,40
Cincinnati Cyclones,Dayton Bombers,27
Florida Everblades,Atlanta Gladiators,96
Florida Everblades,South Carolina Stingrays,88
Florida Everblades,Orlando Solar Bears,86
Florida Everblades,Greenville Swamp Rabbits,68
Florida Everblades,Jacksonville IceMen,57
Florida Everblades,Charlotte Checkers,53
Florida Everblades,Pensacola Ice Pilots,25
Florida Everblades,Augusta Lynx,24
Florida Everblades,Reading Royals,23
Florida Everblades,Norfolk Admirals,22
Reading Royals,Wheeling Nailers,116
Reading Royals,Elmira Jackals,101
Reading Royals,Trenton Titans,77
Reading Royals,Johnstown Chiefs,43
Reading Royals,Dayton Bombers,42
Reading Royals,Cincinnati Cyclones,42
Reading Royals,Adirondack Thunder,33
Reading Royals,Toledo Storm,26
Reading Royals,Toledo Walleye,23
Reading Royals,Florida Everblades,23
South Carolina Stingrays,Atlanta Gladiators,103
South Carolina Stingrays,Greenville Swamp Rabbits,93
South Carolina Stingrays,Florida Everblades,89
South Carolina Stingrays,Charlotte Checkers,61
South Carolina Stingrays,Orlando Solar Bears,40
South Carolina Stingrays,Jacksonville IceMen,35
South Carolina Stingrays,Norfolk Admirals,30
South Carolina Stingrays,Columbia Inferno,23
South Carolina Stingrays,Elmira Jackals,23
South Carolina Stingrays,Augusta Lynx,23
Wheeling Nailers,Reading Royals,117
Wheeling Nailers,Cincinnati Cyclones,95
Wheeling Nailers,Elmira Jackals,86
Wheeling Nailers,Toledo Walleye,77
Wheeling Nailers,Fort Wayne Komets,46
Wheeling Nailers,Johnstown Chiefs,41
Wheeling Nailers,Trenton Titans,41
Wheeling Nailers,Dayton Bombers,41
Wheeling Nailers,Kalamazoo Wings,39
Wheeling Nailers,Indy Fuel,28
Atlanta Gladiators,South Carolina Stingrays,101
Atlanta Gladiators,Florida Everblades,99
Atlanta Gladiators,Greenville Swamp Rabbits,79
Atlanta Gladiators,Charlotte Checkers,48
