NHL,Chicago Blackhawks,2021-2022 Preseason, 3
NHL,Chicago Blackhawks,2020-2021 Regular Season, 6
NHL,Chicago Blackhawks,2019-2020 Preseason, 2
NHL,Chicago Blackhawks,2019-2020 Regular Season, 12
NHL,Chicago Blackhawks,2018-2019 Regular Season, 11
NHL,Chicago Blackhawks,2018-2019 Preseason, 2
NHL,Chicago Blackhawks,2017-2018 Regular Season, 13
NHL,Chicago Blackhawks,2017-2018 Preseason, 1
NHL,Carolina Hurricanes,2022-2023 Regular Season, 2
NHL,Carolina Hurricanes,2022-2023 Preseason, 2
NHL,Carolina Hurricanes,2021-2022 Postseason, 1
NHL,Carolina Hurricanes,2021-2022 Regular Season, 10
NHL,Carolina Hurricanes,2020-2021 Regular Season, 6
NHL,Carolina Hurricanes,2019-2020 Postseason, 1
NHL,Carolina Hurricanes,2019-2020 Preseason, 1
NHL,Carolina Hurricanes,2019-2020 Regular Season, 6
NHL,Carolina Hurricanes,2018-2019 Postseason, 1
NHL,Carolina Hurricanes,2018-2019 Regular Season, 8
NHL,Calgary Flames,2022-2023 Regular Season, 10
NHL,Calgary Flames,2022-2023 Preseason, 3
NHL,Calgary Flames,2021-2022 Postseason, 3
NHL,Calgary Flames,2021-2022 Regular Season, 19
NHL,Calgary Flames,2021-2022 Preseason, 2
NHL,Calgary Flames,2020-2021 Postseason, 1
NHL,Calgary Flames,2020-2021 Regular Season, 12
NHL,Calgary Flames,2019-2020 Postseason, 3
NHL,Calgary Flames,2019-2020 Regular Season, 15
NHL,Calgary Flames,2018-2019 Regular Season, 15
NHL,Buffalo Sabres,2022-2023 Regular Season, 2
NHL,Buffalo Sabres,2022-2023 Preseason, 2
NHL,Buffalo Sabres,2021-2022 Regular Season, 16
NHL,Buffalo Sabres,2021-2022 Preseason, 1
NHL,Buffalo Sabres,2020-2021 Regular Season, 6
NHL,Buffalo Sabres,2019-2020 Regular Season, 3
NHL,Buffalo Sabres,2018-2019 Regular Season, 12
NHL,Buffalo Sabres,2018-2019 Preseason, 2
NHL,Buffalo Sabres,2017-2018 Regular Season, 14
NHL,Buffalo Sabres,2016-2017 Regular Season, 22
NHL,Boston Bruins,2022-2023 Regular Season, 14
NHL,Boston Bruins,2022-2023 Preseason, 3
NHL,Boston Bruins,2021-2022 Regular Season, 21
NHL,Boston Bruins,2021-2022 Preseason, 1
NHL,Boston Bruins,2020-2021 Postseason, 2
NHL,Boston Bruins,2020-2021 Regular Season, 15
NHL,Boston Bruins,2019-2020 Postseason, 3
NHL,Boston Bruins,2019-2020 Preseason, 1
NHL,Boston Bruins,2019-2020 Regular Season, 20
NHL,Boston Bruins,2018-2019 Regular Season, 26
NHL,Arizona Coyotes,2022-2023 Regular Season, 14
NHL,Arizona Coyotes,2022-2023 Preseason, 5
NHL,Arizona Coyotes,2021-2022 Regular Season, 28
NHL,Arizona Coyotes,2021-2022 Preseason, 4
NHL,Arizona Coyotes,2020-2021 Regular Season, 10
NHL,Arizona Coyotes,2019-2020 Preseason, 3
NHL,Arizona Coyotes,2019-2020 Regular Season, 4
NHL,Arizona Coyotes,2018-2019 Regular Season, 7
NHL,Arizona Coyotes,2018-2019 Preseason, 1
NHL,Arizona Coyotes,2017-2018 Regular Season, 17
NHL,Anaheim Ducks,2022-2023 Regular Season, 14
